item_id,caption_or_note_path,forbidden_phrase,found,status,reason
caption_bank_day29,docs/paper/caption_bank_day29.md,ODI robustly predicts drift,false,pass,forbidden wording absent
caption_bank_day29,docs/paper/caption_bank_day29.md,validated Degen-LIO estimator,false,pass,forbidden wording absent
caption_bank_day29,docs/paper/caption_bank_day29.md,weak-subspace update is authorized,false,pass,forbidden wording absent
caption_bank_day29,docs/paper/caption_bank_day29.md,toy_lio is real LIO,false,pass,forbidden wording absent
caption_bank_day29,docs/paper/caption_bank_day29.md,joint risk predicts drift,false,pass,forbidden wording absent
caption_bank_day29,docs/paper/caption_bank_day29.md,ODI is superior to AIS/lambda_min,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,ODI robustly predicts drift,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,validated Degen-LIO estimator,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,weak-subspace update is authorized,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,toy_lio is real LIO,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,joint risk predicts drift,false,pass,forbidden wording absent
table_interpretation_notes,docs/paper/generated_tables/table_interpretation_notes.md,ODI is superior to AIS/lambda_min,false,pass,forbidden wording absent
